Sample Name,Q30(%) of fq1 (NI),Q30(%) of fq2 (I)
pre_1,88.9,87.2
pre_2,89.93,89.54
pre_3,89.3,89.61
pre_4,88.67,86.81
pre_5,88.35,86.27
pre_6,90.45,90.45
post_1,88.76,86.97
post_2,89.28,87.66
post_3,88.72,86.83
post_4,88.6,86.68
post_5,88.35,86.27
post_6,88.53,86.88
